country,year,value_cre_pob,value_pib_per,esp_vida,rgdpe,rgdpo,pop,emp,avh,hc,ccon,cda,cgdpe,cgdpo,cn,ck,ctfp,cwtfp,rgdpna,rconna,rdana,rnna,rkna,rtfpna,rwtfpna,labsh,irr,delta,xr,pl_con,pl_da,pl_gdpo,i_cig,i_xm,i_xr,i_outlier,i_irr,cor_exp,statcap,csh_c,csh_i,csh_g,csh_x,csh_m,csh_r,pl_c,pl_i,pl_g,pl_x,pl_m,pl_n,pl_k,HDI_Value
Bolivia,2003,1.746289399,0.933272881,63.635,32012.4921875,31589.1796875,8.905823,3.72090864181519,,2.57307386398315,28444.109375,31909.58203125,31666.896484375,30859.58984375,72110.90625,0.0012136336881667,0.372387111186981,0.365532904863358,47367.51953125,44115.5390625,47755.9296875,98857.9375,0.498647421598434,0.930800318717957,0.868027925491333,0.545152485370636,0.146497175097466,0.0560962334275246,7.65916666666667,0.248728901147842,0.255231827497482,0.261908888816833,Interpolated,Benchmark,Market-based,Regular,Regular,,,0.734164535999298,0.112298101186752,0.187562182545662,0.108018264174461,-0.13856229186058,-0.003480801358819,0.253335237503052,0.308606892824173,0.230698600411415,0.495191931724548,0.393940538167953,0.221219927072525,0.698348581790924,0.619
Bolivia,2004,1.739170274,2.377208378,64.004,34806.97265625,33584.6171875,9.069039,3.95637559890747,,2.59339308738708,29670.0078125,32841.78515625,34502.20703125,32890.51953125,78192.2734375,0.0012862656731158,0.371164470911026,0.349816501140594,49344.3046875,45419.359375,48234.4765625,100294.9921875,0.504591047763824,0.929620206356049,0.840536594390869,0.524885714054108,0.164473831653595,0.0554928667843342,7.93626666666667,0.248870715498924,0.254278123378754,0.266738176345825,Interpolated,Benchmark,Market-based,Regular,Regular,,68.8888888888889,0.727327644824982,0.0964344143867493,0.174756228923798,0.133072167634964,-0.137852162122726,0.006261758506298,0.249041184782982,0.304860979318619,0.248161226511002,0.515061914920807,0.416198343038559,0.208296120166779,0.692957818508148,0.626
Bolivia,2005,1.732988249,2.627411949,64.386,36861.40625,35975.140625,9.232306,4.0461311340332,,2.61387252807617,31688.705078125,35917.16796875,37202.2265625,35446.3984375,82286.8203125,0.0013556516496464,0.382349103689194,0.359385877847672,51525.94921875,46933.7578125,51201.5,102183.9609375,0.514204502105713,0.947625398635864,0.871011555194855,0.514479339122772,0.157969236373901,0.0551442950963974,8.0660625,0.247980207204819,0.256681382656097,0.269396066665649,Benchmark,Benchmark,Market-based,Regular,Regular,0.568003465460093,70.0,0.729529321193695,0.119291767477989,0.164460092782974,0.153825655579567,-0.154092743992805,-0.0130140827968717,0.244893357157707,0.321889460086823,0.261673152446747,0.513045966625214,0.42901474237442,0.221210330724716,0.665211021900177,0.634
Bolivia,2006,1.747132755,2.981967715,64.779,40978.23828125,37964.703125,9.395446,4.1832070350647,,2.63451361656189,33338.0,37485.48046875,41195.3984375,37482.88671875,85462.109375,0.0013908564578741,0.397168338298798,0.371156424283981,53997.71484375,48773.2109375,52488.33203125,104652.4140625,0.52737033367157,0.960579395294189,0.86367666721344,0.47956445813179,0.169585227966309,0.055241797119379,8.01161666666667,0.264943897724152,0.277988493442535,0.305521994829178,Interpolated,Benchmark,Market-based,Regular,Regular,,67.7777777777778,0.736709892749786,0.110649950802326,0.152709275484085,0.205374673008919,-0.17338402569294,-0.0320597998797894,0.260334253311157,0.382842600345612,0.287182033061981,0.548620223999023,0.434661954641342,0.256377339363098,0.786296844482422,0.637
Bolivia,2007,1.750232887,2.75018668,65.027,43201.9765625,40330.15625,9.558439,4.23532390594482,,2.65531778335571,35434.41015625,40187.2109375,43459.375,39813.94921875,88754.3515625,0.0014481485122814,0.410954713821411,0.391675263643265,56462.34765625,50770.85546875,55200.640625,108069.9140625,0.545973062515259,0.977254211902618,0.883737444877625,0.471115469932556,0.17508590221405,0.0555123053491116,7.85124516125,0.286155223846436,0.301893085241318,0.329534858465195,Interpolated,Benchmark,Market-based,Regular,Regular,,67.7777777777778,0.74668687582016,0.119375221431255,0.143313035368919,0.202565521001816,-0.188853859901428,-0.0230867527425289,0.279032468795776,0.419226497411728,0.32326602935791,0.596744179725647,0.468406707048416,0.27114263176918,0.837277770042419,0.644
Bolivia,2008,1.729761436,4.328171136,65.446,47595.7578125,45558.234375,9.721454,4.36547136306763,,2.67628622055054,38319.92578125,44838.546875,48185.640625,44905.29296875,95518.078125,0.0015386090381071,0.45042097568512,0.427613526582718,59933.9375,53410.87890625,60222.578125,112963.1875,0.572206854820251,0.999009907245636,0.92851060628891,0.451006352901459,0.198332279920578,0.0560543276369572,7.23832069891667,0.328530728816986,0.346043139696121,0.371321737766266,Interpolated,Benchmark,Market-based,Regular,Regular,,66.6666666666667,0.726403772830963,0.145163789391518,0.126946106553078,0.248186349868774,-0.202612057328224,-0.0440879799425602,0.318073630332947,0.448990225791931,0.388367891311646,0.619058728218079,0.550205111503601,0.300543785095215,1.02139174938202,0.651
Bolivia,2009,1.713114049,1.601456455,65.88,48586.50390625,47438.8359375,9.884781,4.36472177505493,,2.69742035865784,40511.3046875,47601.10546875,48981.58203125,47127.43359375,103176.7890625,0.0017299022292718,0.438934475183487,0.430850058794022,61946.06640625,55386.80859375,62470.11328125,117759.03125,0.598334670066833,1.01448380947113,0.946311771869659,0.476410746574402,0.187364429235458,0.0568273440003395,7.02,0.34332400560379,0.354011178016663,0.36793914437294,Interpolated,Benchmark,Market-based,Regular,Regular,,70.0,0.738741457462311,0.150438904762268,0.120870530605316,0.196542799472809,-0.183579787611961,-0.0230138711631298,0.326238960027695,0.415078103542328,0.447745144367218,0.571844279766083,0.509611308574677,0.283697992563248,0.888391554355621,0.657
Bolivia,2010,1.696282376,2.375335576,66.162,54538.91796875,52741.2421875,10.04859,4.44462585449219,,2.71872138977051,43347.16015625,51330.015625,55112.7109375,52044.7265625,111501.265625,0.0019088070839643,0.459406584501266,0.436957240104675,64502.35546875,57497.78125,65218.40234375,123102.953125,0.627976953983307,1.01522171497345,0.949480414390564,0.450484544038773,0.213794186711311,0.0576205290853977,7.01666666666667,0.345104098320007,0.35653817653656,0.377555787563324,Interpolated,Benchmark,Market-based,Regular,Regular,,66.6666666666667,0.723100900650024,0.153384551405907,0.109782002866268,0.225854009389877,-0.211469605565071,-0.0006518764421343,0.325280755758286,0.418625682592392,0.47567430138588,0.592568933963776,0.509170949459076,0.281632989645004,0.915834426879883,0.661
Bolivia,2011,1.677828499,3.453673773,66.534,60560.34765625,59436.5625,10.212954,4.57814311981201,,2.74515032768249,47197.25,57878.29296875,61378.7265625,58866.59375,120416.828125,0.0021089070942252,0.47913071513176,0.452036589384079,67859.078125,60702.87890625,71267.7578125,130773.1328125,0.672490835189819,1.00803959369659,0.97924929857254,0.455281734466553,0.210473418235779,0.059252642095089,6.9369625,0.378159940242767,0.390414774417877,0.407075792551041,Benchmark,Benchmark,Market-based,Regular,Regular,0.559667772838385,70.0,0.698910355567932,0.181444898247719,0.102855920791626,0.26032292842865,-0.250125199556351,0.0065910532139241,0.353568434715271,0.444566428661346,0.545260190963745,0.596726059913635,0.538966000080109,0.318386167287827,0.977629840373993,0.667
Bolivia,2012,1.654635399,3.39719644,66.705,67880.046875,66667.890625,10.377676,4.71972322463989,,2.77183604240417,51987.125,62019.44921875,68441.7734375,65050.3984375,126360.9375,0.0021540280431509,0.50543075799942,0.463007658720016,71335.0078125,63529.88671875,72885.7734375,138113.65625,0.714236736297607,1.00639498233795,0.951128125190735,0.455140918493271,0.21361069381237,0.0611460767686367,6.91,0.380023837089539,0.395730495452881,0.416361749172211,ICP PPP timeseries: benchmark or interpolated,Benchmark,Market-based,Regular,Regular,0.444882131894538,67.7777777777778,0.709489822387695,0.154223889112473,0.0896924361586571,0.314781457185745,-0.242981940507889,-0.0252056568861008,0.349195778369904,0.477121770381927,0.623881697654724,0.576963126659393,0.543467402458191,0.339638978242874,1.04463052749634,0.673
